product,vendor,category,price,ranking,skin_type,skin_type_code,skin_problem_code
aromatica-rosemary-scalp-scaling-trial-kit,Aromatica,Set,29.95,4.15,Normal,N,
aromatica-orange-cleansing-sherbet,Aromatica,Cleanser,29.95,4.28,Normal,N,
aromatica-reviving-rose-infusion-cream-cleanser,Aromatica,Cleanser,17.95,4.75,Normal,N,
aromatica-soothing-aloe-vera-gel,Aromatica,Moisturisers,17.95,4.33,Normal,N,
aromatica-tea-tree-balancing-foaming-cleanser,Aromatica,Cleanser,17.95,4.6,Normal,N,
aromatica-reviving-rose-infusion-cream,Aromatica,Moisturisers,37.95,4.33,Normal,N,
aromatica-reviving-rose-infusion-serum,Aromatica,Serum,34.95,4.0,Normal,N,
aromatica-reviving-rose-infusion-treatment-toner,Aromatica,Toner,30.95,4.83,Normal,N,
aromatica-tea-tree-balancing-toner,Aromatica,Toner,20.45,4.25,Normal,N,
aromatica-aloe-hy-ffective-cleanser,Aromatica,Cleanser,15.95,4.67,Normal,N,
aromatica-organic-rosehip-oil,Aromatica,Serum,24.95,5.0,"Sensitive, Normal",N,S
aromatica-tea-tree-calming-gel,Aromatica,Moisturisers,20.95,0.0,Normal,N,
aromatica-brightening-neroli-organic-facial-oil,Aromatica,Serum,31.95,0.0,Normal,N,
aromatica-tea-tree-pore-purifying-serum,Aromatica,,32.95,0.0,"Pore care, Acne, Sensitive, Normal",N,"Pore, A, S"
aromatica-aloe-hy-ffective-serum,Aromatica,Serum,28.95,0.0,Normal,N,
aromatica-tea-tree-balancing-emulsion,Aromatica,Moisturisers,28.95,4.0,"Pore care, Dry, Normal","D, N",Pore
aromatica-comforting-calendula-decoction-juicy-cream,Aromatica,Moisturisers,31.95,0.0,"Dry, Sensitive, Normal","D, N",S
atopalm-mle-cream,ATOPALM,Moisturisers,23.95,4.79,Dry,D,
atopalm-mle-lotion,ATOPALM,Moisturisers,23.95,5.0,Normal,N,
atrue-pure-balancing-cleansing-oil,Atrue,Cleanser,22.95,4.0,Normal,N,
atrue-real-black-tea-true-active-essence,Atrue,Essence,39.95,5.0,Normal,N,
axis-y-dark-spot-correcting-glow-serum,AXIS-Y,Serum,17.05,4.51,"Normal, Dry, Combination, Oily","N, D, C, O",
axis-y-the-mini-glow-set,AXIS-Y,,9.95,4.49,Normal,N,
artichoke-intensive-skin-barrier-ampoule,AXIS-Y,Serum,21.51,4.65,Normal,N,
axis-y-mugwort-pore-clarifying-wash-off-pack,AXIS-Y,Face Mask,21.06,4.64,Normal,N,
axis-y-spot-the-difference-blemish-treatment,AXIS-Y,Serum,15.65,3.6,"Oily, Acne, Sensitive, Normal","O, N","A, S"
axis-y-quinoa-one-step-balanced-gel-cleanser,AXIS-Y,Cleanser,18.56,4.58,Normal,N,
axis-y-complete-no-stress-physical-sunscreen,AXIS-Y,Sunscreen,21.95,3.96,Normal,N,
axis-y-heartleaf-my-type-calming-cream,AXIS-Y,Moisturisers,17.55,4.0,"Sensitive, Normal",N,S
axis-y-pha-resurfacing-glow-peel,AXIS-Y,Serum,17.95,4.17,Normal,N,
axis-y-daily-purifying-treatment-toner,AXIS-Y,Toner,23.07,4.35,Normal,N,
axis-y-lha-peel-fill-pore-balancing-cream,AXIS-Y,Moisturisers,17.95,4.12,Normal,N,
axis-y-sunday-morning-refreshing-cleansing-foam,AXIS-Y,Cleanser,16.6,4.12,Normal,N,
axis-y-new-skin-resolution-gel-mask,AXIS-Y,Face Mask,23.46,4.67,Normal,N,
axis-y-cera-heart-my-type-duo-cream,AXIS-Y,Moisturisers,24.85,4.33,Normal,N,
axis-y-green-vital-energy-complex-sheet-mask,AXIS-Y,Face Mask,2.45,4.86,Normal,N,
axis-y-biome-recharging-night-renewal-set,AXIS-Y,Moisturisers,34.95,4.2,Normal,N,
axis-y-vegan-collagen-eye-serum-1,AXIS-Y,Eye serum,17.95,5.0,"Sensitive, Normal",N,S
axis-y-dark-spot-correcting-glow-cream,AXIS-Y,Moisturisers,23.95,4.5,"Sensitive, Dry, Normal","D, N",S
axis-y-dark-spot-correcting-glow-toner,AXIS-Y,Toner,21.95,0.0,"Dry, Pigmentation, Normal","D, N",P
axis-y-vita-frost-chilling-essence,AXIS-Y,Essence,19.54,4.75,Normal,N,
axis-y-panthenol-10-skin-smoothing-shield-cream,AXIS-Y,Moisturisers,17.95,3.5,Normal,N,
axis-y-biome-radiating-intensified-essence,AXIS-Y,Essence,27.35,5.0,Normal,N,
axis-y-biome-comforting-infused-toner,AXIS-Y,Toner,22.45,5.0,Normal,N,
axis-y-biome-ultimate-indulging-cream,AXIS-Y,Moisturisers,22.95,5.0,"Sensitive, Dry, Normal","D, N",S
b-lab-matcha-hydrating-foam-cleanser,B_LAB,Cleanser,13.95,4.5,"Combination, Normal, Acne","C, N",A
b_lab-cica-barrier-5-5-cleansing-oil-balm,B_LAB,Cleanser,18.95,4.5,"Sensitive, Normal",N,S
b_lab-matcha-hydrating-real-sun-stick,B_LAB,Sunscreen,13.95,0.0,"Sensitive, Acne, Normal",N,"S, A"
b_lab-cica-barrier-5-5-gel-cleanser,B_LAB,Cleanser,13.95,5.0,"Sensitive, Normal",N,S
b_lab-matcha-hydrating-relief-cream,B_LAB,Moisturisers,14.95,0.0,"Dry, Normal","D, N",
b_lab-matcha-hydrating-clear-ampoule,B_LAB,Ampoules,16.95,0.0,"Sensitive, Acne, Normal",N,"S, A"
b_lab-matcha-hydrating-real-sun-screen,B_LAB,Sunscreen,13.95,5.0,Normal,N,
b_lab-matcha-hydrating-facial-toner,B_LAB,Toner,12.95,0.0,"Dry, Acne, Normal","D, N",A
banila-co-clean-it-zero-cleansing-balm-original,Banila co,Cleanser,18.95,4.71,Normal,N,
banila-co-clean-it-zero-calming-cleansing-balm,Banila co,Cleanser,21.95,4.78,"Sensitive, Normal",N,S
banila-co-clean-it-zero-nourishing-cleansing-balm,Banila co,Cleanser,21.95,4.74,"Sensitive, Dry, Normal","D, N",S
banila-co-clean-it-zero-cleansing-balm-revitalizing,Banila co,Cleanser,21.95,4.73,Normal,N,
banila-co-clean-it-zero-pore-clarifying-cleansing-balm,Banila co,Cleanser,24.95,5.0,"Oily, Acne, Combination","O, C",A
banila-co-clean-it-zero-pore-clarifying-foam-cleanser,Banila co,Cleanser,14.95,4.8,"Oily, Acne",O,A
banila-co-clean-it-zero-foam-cleanser,Banila co,Cleanser,12.95,5.0,"Sensitive, Dry",D,S
dear-hydration-facial-mist,Banila co,Toner,10.95,5.0,Normal,N,
banila-co-clean-it-zero-cleansing-balm-brightening,Banila co,Cleanser,19.95,5.0,Normal,N,
banila-co-clean-it-zero-toner-pad-pore-clarifying,Banila co,Cleanser,22.95,5.0,Normal,N,
banila-co-hello-sunny-essence-sun-stick-spf50-pa-glow,Banila co,Sunscreen,20.59,4.0,Normal,N,
banila-co-dear-hydration-sheet-mask,Banila co,Face Mask,2.95,5.0,Normal,N,
banila-co-hello-sunny-essence-sun-stick-spf50-pa-fresh,Banila co,Sunscreen,20.95,3.6,Normal,N,
banila-co-clean-it-zero-pure-cleansing-water,Banila co,Cleanser,20.45,5.0,Normal,N,
banila-co-hello-sunny-essence-sun-stick-spf50-pa-aqua,Banila co,Sunscreen,20.95,3.8,Normal,N,
banila-co-clean-it-zero-cleansing-balm-vita-pumpkin,Banila co,Cleanser,23.95,5.0,Normal,N,
banila-co-dear-hydration-intense-essence,Banila co,Essence,19.56,0.0,Normal,N,
banila-co-dear-hydration-balancing-moisturizer,Banila co,Moisturisers,19.25,3.5,Normal,N,
banila-co-dear-hydration-toner,Banila co,Toner,17.45,0.0,Normal,N,
banila-co-dear-hydration-boosting-cream,Banila co,Moisturisers,25.49,0.0,Normal,N,
barr-cosmetics-centella-calming-barrier-cream,Barr Cosmetics,Moisturisers,24.44,4.72,Normal,N,
barr-cosmetics-centella-calming-gel-cleanser,Barr Cosmetics,Cleanser,14.95,4.42,Normal,N,
barr-cosmetics-centella-soothing-sun-essence-spf50-pa,Barr Cosmetics,Sunscreen,21.95,4.83,Normal,N,
barr-cosmetics-centella-calming-ampoule-toner,Barr Cosmetics,Toner,26.94,4.71,Normal,N,
