product,vendor,category,price,ranking,skin_type
aromatica-rosemary-scalp-scrub,Aromatica,Hair Care,18.95,4.53,All skin types
aromatica-rosemary-scalp-scaling-shampoo,Aromatica,Hair Care,25.95,4.34,All skin types
aromatica-tea-tree-purifying-shampoo,Aromatica,Hair Care,22.95,4.61,All skin types
aromatica-dandelion-feminine-gel,Aromatica,Body Care,11.36,4.59,All skin types
aromatica-rosemary-scalp-scaling-trial-kit,Aromatica,Set,29.95,4.15,All skin types
serene-body-oil-lavender-marjoram,Aromatica,Body Care,20.95,4.88,All skin types
aromatica-serene-body-lotion-lavender-marjoram,Aromatica,Body Care,28.95,5.0,All skin types
aromatica-orange-cleansing-sherbet,Aromatica,Cleanser,29.95,4.28,All skin types
aromatica-reviving-rose-infusion-cream-cleanser,Aromatica,Cleanser,17.95,4.75,All skin types
aromatica-soothing-aloe-vera-gel,Aromatica,Moisturisers,17.95,4.33,All skin types
aromatica-tea-tree-balancing-foaming-cleanser,Aromatica,Cleanser,17.95,4.6,All skin types
aromatica-reviving-rose-infusion-cream,Aromatica,Moisturisers,37.95,4.33,All skin types
aromatica-serene-body-wash-lavender-marjoram,Aromatica,Body Care,30.95,5.0,All skin types
aromatica-reviving-rose-infusion-serum,Aromatica,Serum,34.95,4.0,All skin types
aromatica-quinoa-protein-treatment-mask,Aromatica,Hair Care,25.95,5.0,All skin types
aromatica-reviving-rose-infusion-treatment-toner,Aromatica,Toner,30.95,4.83,All skin types
aromatica-tea-tree-balancing-toner,Aromatica,Toner,20.45,4.25,All skin types
aromatica-embrace-neroli-patchouli-body-wash,Aromatica,Body Care,28.95,0.0,All skin types
aromatica-aloe-hy-ffective-cleanser,Aromatica,Cleanser,15.95,4.67,All skin types
aromatica-quinoa-protein-shampoo,Aromatica,Hair Care,19.95,0.0,All skin types
aromatica-organic-rosehip-oil,Aromatica,Serum,24.95,5.0,"Sensitive skin, all skin types"
aromatica-rosemary-active-v-anti-hair-loss-tonic,Aromatica,Hair Care,21.51,0.0,All skin types
aromatica-tea-tree-purifying-tonic,Aromatica,Hair Care,19.95,4.0,All skin types
aromatica-tea-tree-calming-gel,Aromatica,Moisturisers,20.95,0.0,All skin types
aromatica-vitalizing-rosemary-all-in-one-wash,Aromatica,Body Care,29.95,0.0,All skin types
aromatica-embrace-neroli-patchouli-body-lotion,Aromatica,Body Care,28.95,0.0,All skin types
aromatica-ritual-hair-oil-jasmine-vetiver,Aromatica,Hair Care,22.95,5.0,"Dry, damaged hair"
aromatica-brightening-neroli-organic-facial-oil,Aromatica,Serum,31.95,0.0,all skin types
aromatica-tea-tree-pore-purifying-serum,Aromatica,,32.95,0.0,"Pore care, fungal acne safe, sensitive skin, all skin types"
aromatica-embrace-neroli-patchouli-body-oil,Aromatica,Body Care,28.95,0.0,All skin types
aromatica-aloe-hy-ffective-serum,Aromatica,Serum,28.95,0.0,All skin types
aromatica-tea-tree-balancing-emulsion,Aromatica,Moisturisers,28.95,4.0,"Pore care, dry skin, all skin types"
aromatica-circulating-juniper-berry-ginger-body-oil,Aromatica,Body Care,23.95,5.0,All skin types
aromatica-comforting-calendula-decoction-juicy-cream,Aromatica,Moisturisers,31.95,0.0,"Pregnancy safe, baby safe, dry, sensitive skin, all skin types"
aromatica-rosemary-hair-thickening-conditioner,Aromatica,Hair Care,23.95,0.0,All skin types
atopalm-mle-cream,ATOPALM,Moisturisers,23.95,4.79,Normal to dry skin types
atopalm-mle-lotion,ATOPALM,Moisturisers,23.95,5.0,All skin types
atrue-pure-balancing-cleansing-oil,Atrue,Cleanser,22.95,4.0,All skin types
atrue-real-black-tea-true-active-essence,Atrue,Essence,39.95,5.0,All skin types
axis-y-dark-spot-correcting-glow-serum,AXIS-Y,Serum,17.05,4.51,"Normal, Dry, Combination, Oily skin types"
axis-y-the-mini-glow-set,AXIS-Y,,9.95,4.49,All skin types
artichoke-intensive-skin-barrier-ampoule,AXIS-Y,Serum,21.51,4.65,All skin types
axis-y-mugwort-pore-clarifying-wash-off-pack,AXIS-Y,Face Mask,21.06,4.64,All skin types
axis-y-spot-the-difference-blemish-treatment,AXIS-Y,Serum,15.65,3.6,"Oily, acne-prone, sensitive skin, all skin types"
axis-y-quinoa-one-step-balanced-gel-cleanser,AXIS-Y,Cleanser,18.56,4.58,All skin types
axis-y-complete-no-stress-physical-sunscreen,AXIS-Y,Sunscreen,21.95,3.96,All skin types
axis-y-heartleaf-my-type-calming-cream,AXIS-Y,Moisturisers,17.55,4.0,"﻿Sensitive skin, all skin types"
axis-y-pha-resurfacing-glow-peel,AXIS-Y,Serum,17.95,4.17,All skin types
axis-y-daily-purifying-treatment-toner,AXIS-Y,Toner,23.07,4.35,All skin types
axis-y-lha-peel-fill-pore-balancing-cream,AXIS-Y,Moisturisers,17.95,4.12,﻿All skin types
axis-y-sunday-morning-refreshing-cleansing-foam,AXIS-Y,Cleanser,16.6,4.12,All skin types
axis-y-new-skin-resolution-gel-mask,AXIS-Y,Face Mask,23.46,4.67,All skin types
axis-y-cera-heart-my-type-duo-cream,AXIS-Y,Moisturisers,24.85,4.33,All skin types
axis-y-green-vital-energy-complex-sheet-mask,AXIS-Y,Face Mask,2.45,4.86,All skin types
